id,title,description,category,subcategory,subsubcategory
1,Two Sum,"Given an array of integers nums and an integer target, return indices of the two numbers such that they add up to target.You may assume that each input would have exactly one solution, and you may not use the same element twice.You can return the answer in any order. ",Arrays & Strings,Basic Manipulation,"Searching & Finding (Linear Search, Binary Search)"
2,Add Two Numbers,"You are given two non-empty linked lists representing two non-negative integers. The digits are stored in reverse order, and each of their nodes contains a single digit. Add the two numbers and return the sum as a linked list.You may assume the two numbers do not contain any leading zero, except the number 0 itself. ",Linked Lists,Basic Operations,Insertion & Deletion
3,Longest Substring Without Repeating Characters,"Given a string s, find the length of the longest substring without duplicate characters. ",Arrays & Strings,Basic Manipulation,Sliding Window
4,Median of Two Sorted Arrays,"Given two sorted arrays nums1 and nums2 of size m and n respectively, return the median of the two sorted arrays.The overall run time complexity should be O(log (m+n)). ",Arrays & Strings,Basic Manipulation,"Searching & Finding (Linear Search, Binary Search)"
5,Longest Palindromic Substring,"Given a string s, return the longest palindromic substring in s. ",Arrays & Strings,Two Pointers,Palindrome related problems
6,Zigzag Conversion,"The string &quot;PAYPALISHIRING&quot; is written in a zigzag pattern on a given number of rows like this: (you may want to display this pattern in a fixed font for better legibility)P   A   H   NA P L S I I GY   I   RAnd then read line by line: &quot;PAHNAPLSIIGYIR&quot;Write the code that will take a string and make this conversion given a number of rows:string convert(string s, int numRows); ",Arrays & Strings,Basic Manipulation,Reversal & Rotation
7,Reverse Integer,"Given a signed 32-bit integer x, return x with its digits reversed. If reversing x causes the value to go outside the signed 32-bit integer range [-231, 231 - 1], then return 0.Assume the environment does not allow you to store 64-bit integers (signed or unsigned). ",Arrays & Strings,Basic Manipulation,Reversal & Rotation
8,String to Integer (atoi),"Implement the myAtoi(string s) function, which converts a string to a 32-bit signed integer.The algorithm for myAtoi(string s) is as follows:	Whitespace: Ignore any leading whitespace (&quot; &quot;).	Signedness: Determine the sign by checking if the next character is &#39;-&#39; or &#39;+&#39;, assuming positivity if neither present.	Conversion: Read the integer by skipping leading zeros until a non-digit character is encountered or the end of the string is reached. If no digits were read, then the result is 0.	Rounding: If the integer is out of the 32-bit signed integer range [-231, 231 - 1], then round the integer to remain in the range. Specifically, integers less than -231 should be rounded to -231, and integers greater than 231 - 1 should be rounded to 231 - 1.Return the integer as the final result. ",Arrays & Strings,Basic Manipulation,"Searching & Finding (Linear Search, Binary Search)"
9,Palindrome Number,"Given an integer x, return true if x is a palindrome, and false otherwise. ",Arrays & Strings,Two Pointers,Palindrome related problems
10,Regular Expression Matching,"Given an input string s and a pattern p, implement regular expression matching with support for &#39;.&#39; and &#39;*&#39; where:	&#39;.&#39; Matches any single character.​​​​	&#39;*&#39; Matches zero or more of the preceding element.The matching should cover the entire input string (not partial). ",Dynamic Programming (DP),2D DP,Longest Common Subsequence (LCS)
11,Container With Most Water,"You are given an integer array height of length n. There are n vertical lines drawn such that the two endpoints of the ith line are (i, 0) and (i, height[i]).Find two lines that together with the x-axis form a container, such that the container contains the most water.Return the maximum amount of water a container can store.Notice that you may not slant the container. ",Arrays & Strings,Two Pointers,Finding Pairs & Subarrays
12,Integer to Roman,"Seven different symbols represent Roman numerals with the following values:						Symbol			Value									I			1							V			5							X			10							L			50							C			100							D			500							M			1000			Roman numerals are formed by appending the conversions of decimal place values from highest to lowest. Converting a decimal place value into a Roman numeral has the following rules:	If the value does not start with 4 or 9, select the symbol of the maximal value that can be subtracted from the input, append that symbol to the result, subtract its value, and convert the remainder to a Roman numeral.	If the value starts with 4 or 9 use the subtractive form representing one symbol subtracted from the following symbol, for example, 4 is 1 (I) less than 5 (V): IV and 9 is 1 (I) less than 10 (X): IX. Only the following subtractive forms are used: 4 (IV), 9 (IX), 40 (XL), 90 (XC), 400 (CD) and 900 (CM).	Only powers of 10 (I, X, C, M) can be appended consecutively at most 3 times to represent multiples of 10. You cannot append 5 (V), 50 (L), or 500 (D) multiple times. If you need to append a symbol 4 times use the subtractive form.Given an integer, convert it to a Roman numeral. ",Arrays & Strings,Basic Manipulation,Element Counting & Frequency
13,Roman to Integer,"Roman numerals are represented by seven different symbols: I, V, X, L, C, D and M.Symbol       ValueI             1V             5X             10L             50C             100D             500M             1000For example, 2 is written as II in Roman numeral, just two ones added together. 12 is written as XII, which is simply X + II. The number 27 is written as XXVII, which is XX + V + II.Roman numerals are usually written largest to smallest from left to right. However, the numeral for four is not IIII. Instead, the number four is written as IV. Because the one is before the five we subtract it making four. The same principle applies to the number nine, which is written as IX. There are six instances where subtraction is used:	I can be placed before V (5) and X (10) to make 4 and 9. 	X can be placed before L (50) and C (100) to make 40 and 90. 	C can be placed before D (500) and M (1000) to make 400 and 900.Given a roman numeral, convert it to an integer. ",Arrays & Strings,Basic Manipulation,Element Counting & Frequency
14,Longest Common Prefix,"Write a function to find the longest common prefix string amongst an array of strings.If there is no common prefix, return an empty string &quot;&quot;. ",Arrays & Strings,Basic Manipulation,"Searching & Finding (Linear Search, Binary Search)"
15,3Sum,"Given an integer array nums, return all the triplets [nums[i], nums[j], nums[k]] such that i != j, i != k, and j != k, and nums[i] + nums[j] + nums[k] == 0.Notice that the solution set must not contain duplicate triplets. ",Arrays & Strings,Two Pointers,Finding Pairs & Subarrays
16,3Sum Closest,"Given an integer array nums of length n and an integer target, find three integers in nums such that the sum is closest to target.Return the sum of the three integers.You may assume that each input would have exactly one solution. ",Arrays & Strings,Two Pointers,Finding Pairs & Subarrays
17,Letter Combinations of a Phone Number,"Given a string containing digits from 2-9 inclusive, return all possible letter combinations that the number could represent. Return the answer in any order.A mapping of digits to letters (just like on the telephone buttons) is given below. Note that 1 does not map to any letters. ",Backtracking,Permutations & Combinations,Generating Combinations
18,4Sum,"Given an array nums of n integers, return an array of all the unique quadruplets [nums[a], nums[b], nums[c], nums[d]] such that:	0 	a, b, c, and d are distinct.	nums[a] + nums[b] + nums[c] + nums[d] == targetYou may return the answer in any order. ",Arrays & Strings,Two Pointers,Finding Pairs & Subarrays
19,Remove Nth Node From End of List,"Given the head of a linked list, remove the nth node from the end of the list and return its head. ",Linked Lists,Two Pointer Techniques,Finding Middle Node
